Start,End,Name,Picture
1949,1967,Tom C. Clark,https://api.oyez.org/sites/default/files/images/people/tom_c_clark/tom_c_clark.thumb.png
2018,,Brett M. Kavanaugh,https://api.oyez.org/sites/default/files/filefield_paths/Kavanaugh-thumb.png
1941,1946,Harlan Fiske Stone,https://api.oyez.org/sites/default/files/images/people/harlan_fiske_stone/harlan_fiske_stone.thumb.png
2016,,Neil Gorsuch,https://api.oyez.org/sites/default/files/filefield_paths/neil_gorsuch.thumb__0.png
1969,1994,Harry A. Blackmun,https://api.oyez.org/sites/default/files/images/people/harry_a_blackmun/harry_a_blackmun.thumb.png
1930,1941,Charles E. Hughes,https://api.oyez.org/sites/default/files/images/people/charles_e_hughes/charles_e_hughes.thumb.png
1953,1969,Earl Warren,https://api.oyez.org/sites/default/files/images/people/earl_warren/earl_warren.thumb.png
1937,1957,Stanley Reed,https://api.oyez.org/sites/default/files/images/people/stanley_reed/stanley_reed.thumb_3.png
1941,1954,Robert H. Jackson,https://api.oyez.org/sites/default/files/images/people/robert_h_jackson/robert_h_jackson.thumb.png
1942,1949,Wiley B. Rutledge,https://api.oyez.org/sites/default/files/images/people/wiley_b_rutledge/wiley_b_rutledge.thumb_1.png
1923,1939,Pierce Butler,https://api.oyez.org/sites/default/files/images/people/pierce_butler/pierce_butler.thumb.png
1954,1972,John M. Harlan II,https://api.oyez.org/sites/default/files/images/people/john_m_harlan2/john_m_harlan2.thumb.png
2009,,Sonia Sotomayor,https://api.oyez.org/sites/default/files/images/people/sonia_sotomayor/sonia_sotomayor.thumb.png
1962,1965,Arthur J. Goldberg,https://api.oyez.org/sites/default/files/images/people/arthur_j_goldberg/arthur_j_goldberg.thumb.png
1937,1972,Hugo L. Black,https://api.oyez.org/sites/default/files/images/people/hugo_l_black/hugo_l_black.thumb.png
2020,,Amy Coney Barrett,https://api.oyez.org/sites/default/files/filefield_paths/barret-thumb.png
1958,1981,Potter Stewart,https://api.oyez.org/sites/default/files/images/people/potter_stewart/potter_stewart.thumb.png
1938,1975,William O. Douglas,https://api.oyez.org/sites/default/files/images/people/william_o_douglas/william_o_douglas.thumb.png
1967,1991,Thurgood Marshall,https://api.oyez.org/sites/default/files/images/people/thurgood_marshall/thurgood_marshall.thumb.png
1949,1956,Sherman Minton,https://api.oyez.org/sites/default/files/images/people/sherman_minton/sherman_minton.thumb.png
1981,2006,Sandra Day O'Connor,https://api.oyez.org/sites/default/files/images/people/sandra_day_oconnor/sandra_day_oconnor.thumb.png
1987,2018,Anthony M. Kennedy,https://api.oyez.org/sites/default/files/images/people/anthony_m_kennedy/anthony_m_kennedy.thumb.png
1957,1962,Charles E. Whittaker,https://api.oyez.org/sites/default/files/images/people/charles_e_whittaker/charles_e_whittaker.thumb.png
1932,1938,Benjamin N. Cardozo,https://api.oyez.org/sites/default/files/images/people/benjamin_n_cardozo/benjamin_n_cardozo.thumb.png
1993,2020,Ruth Bader Ginsburg,https://api.oyez.org/sites/default/files/images/people/ruth_bader_ginsburg/ruth_bader_ginsburg.thumb.png
1965,1969,Abe Fortas,https://api.oyez.org/sites/default/files/images/people/abe_fortas/abe_fortas.thumb.png
1945,1958,Harold Burton,https://api.oyez.org/sites/default/files/images/people/harold_burton/harold_burton.thumb.png
2010,,Elena Kagan,https://api.oyez.org/sites/default/files/images/people/elena_kagan/elena_kagan.thumb.png
1939,1949,Frank Murphy,https://api.oyez.org/sites/default/files/images/people/frank_murphy/frank_murphy.thumb.png
1972,1987,"Lewis F. Powell, Jr.",https://api.oyez.org/sites/default/files/images/people/lewis_f_powell_jr/lewis_f_powell_jr.thumb.png
1946,1953,Fred M. Vinson,https://api.oyez.org/sites/default/files/images/people/fred_m_vinson/fred_m_vinson.thumb.png
1922,1938,George Sutherland,https://api.oyez.org/sites/default/files/images/people/george_sutherland/george_sutherland.thumb_0.png
1975,2010,John Paul Stevens,https://api.oyez.org/sites/default/files/images/people/john_paul_stevens/john_paul_stevens.thumb.png
1938,1962,Felix Frankfurter,https://api.oyez.org/sites/default/files/images/people/felix_frankfurter/felix_frankfurter.thumb.png
1914,1941,James C. McReynolds,https://api.oyez.org/sites/default/files/images/people/james_c_mcreynolds/james_c_mcreynolds.thumb.png
1990,2009,David H. Souter,https://api.oyez.org/sites/default/files/images/people/david_h_souter/david_h_souter.thumb.png
1972,2005,William H. Rehnquist,https://api.oyez.org/sites/default/files/images/people/william_h_rehnquist/william_h_rehnquist.thumb.png
1969,1986,Warren E. Burger,https://api.oyez.org/sites/default/files/images/people/warren_e_burger/warren_e_burger.thumb.png
1991,,Clarence Thomas,https://api.oyez.org/sites/default/files/images/people/clarence_thomas/clarence_thomas.thumb.png
2022,,Ketanji Brown Jackson,https://api.oyez.org/sites/default/files/filefield_paths/thumbnail_ketanji_brown_jackson.png
1994,2022,Stephen G. Breyer,https://api.oyez.org/sites/default/files/images/people/stephen_g_breyer/stephen_g_breyer.thumb.png
2006,,"Samuel A. Alito, Jr.",https://api.oyez.org/sites/default/files/images/people/samuel_alito_jr/samuel_alito_jr.thumb.png
1939,1942,James F. Byrnes,https://api.oyez.org/sites/default/files/images/people/james_f_byrnes/james_f_byrnes.thumb.png
1956,1990,"William J. Brennan, Jr.",https://api.oyez.org/sites/default/files/images/people/william_j_brennan_jr/william_j_brennan_jr.thumb.png
1916,1939,Louis D. Brandeis,https://api.oyez.org/sites/default/files/images/people/louis_d_brandeis/louis_d_brandeis.thumb.png
1986,2016,Antonin Scalia,https://api.oyez.org/sites/default/files/images/people/antonin_scalia/antonin_scalia.thumb.png
1962,1993,Byron R. White,https://api.oyez.org/sites/default/files/images/people/byron_r_white/byron_r_white.thumb.png
1930,1945,Owen J. Roberts,https://api.oyez.org/sites/default/files/images/people/owen_j_roberts/owen_j_roberts.thumb.png
2005,,"John G. Roberts, Jr.",https://api.oyez.org/sites/default/files/images/people/john_g_roberts_jr/john_g_roberts_jr.thumb.png